epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2800.58,0.39587,0.30557,0.86422,0.96849,0.91826,0.94529,0.88579,0.38733,0.31836,0.84868,0.000198202,0.000198202,0.000198202
89,2831.41,0.39639,0.30537,0.87284,0.9824,0.92263,0.94814,0.88972,0.39218,0.31894,0.85189,0.000184055,0.000184055,0.000184055
90,2862.19,0.38558,0.29157,0.86872,0.99439,0.91598,0.94768,0.88224,0.39469,0.32434,0.85579,0.000169908,0.000169908,0.000169908
91,2897.7,0.29547,0.23157,0.80356,0.99683,0.91731,0.94087,0.87432,0.38128,0.32251,0.85032,0.000155761,0.000155761,0.000155761
92,2927.55,0.29283,0.22735,0.78931,0.99641,0.90953,0.94029,0.88195,0.36424,0.31971,0.83921,0.000141614,0.000141614,0.000141614
93,2957.28,0.29117,0.22684,0.79225,0.98973,0.91163,0.94079,0.88096,0.3724,0.33327,0.84346,0.000127467,0.000127467,0.000127467
94,2986.98,0.28291,0.21783,0.79335,0.9932,0.90035,0.94222,0.88663,0.37718,0.32093,0.84724,0.00011332,0.00011332,0.00011332
95,3017.03,0.27853,0.21624,0.79346,0.99583,0.90667,0.94399,0.88432,0.37713,0.3127,0.84719,9.91726e-05,9.91726e-05,9.91726e-05
96,3046.75,0.27238,0.20841,0.78801,0.97971,0.9171,0.94392,0.89154,0.36626,0.31362,0.84203,8.50255e-05,8.50255e-05,8.50255e-05
97,3076.67,0.2751,0.20626,0.78586,0.99166,0.90435,0.94421,0.88919,0.36565,0.31345,0.8427,7.08784e-05,7.08784e-05,7.08784e-05
98,3106.11,0.26029,0.20244,0.79007,0.98337,0.90705,0.9441,0.88455,0.36398,0.3151,0.84411,5.67313e-05,5.67313e-05,5.67313e-05
99,3136.28,0.26798,0.20198,0.79435,0.98777,0.91261,0.94563,0.88632,0.36693,0.31918,0.8455,4.25842e-05,4.25842e-05,4.25842e-05
100,3166.34,0.25904,0.20013,0.78554,0.98428,0.91274,0.94441,0.88642,0.36266,0.3122,0.84103,2.84371e-05,2.84371e-05,2.84371e-05
